CPU Usage: 0.686642%, Memory Usage: 18.083648%
CPU Usage: 0.000000%, Memory Usage: 18.083495%
CPU Usage: 0.624610%, Memory Usage: 18.099544%
CPU Usage: 0.062461%, Memory Usage: 18.099544%
CPU Usage: 0.625000%, Memory Usage: 18.090804%
CPU Usage: 0.000000%, Memory Usage: 18.093002%
CPU Usage: 0.562500%, Memory Usage: 18.089986%
CPU Usage: 0.124766%, Memory Usage: 18.089679%
CPU Usage: 0.686642%, Memory Usage: 18.089782%
CPU Usage: 0.187149%, Memory Usage: 18.089679%
CPU Usage: 0.562500%, Memory Usage: 18.128526%
CPU Usage: 0.062461%, Memory Usage: 18.128423%
CPU Usage: 0.624220%, Memory Usage: 18.128730%
CPU Usage: 0.062461%, Memory Usage: 18.131541%
CPU Usage: 0.437774%, Memory Usage: 18.131643%
CPU Usage: 0.062461%, Memory Usage: 18.131541%
CPU Usage: 0.500313%, Memory Usage: 18.132001%
CPU Usage: 0.000000%, Memory Usage: 18.128270%
CPU Usage: 0.499688%, Memory Usage: 18.128474%
CPU Usage: 0.000000%, Memory Usage: 18.127350%
CPU Usage: 0.500313%, Memory Usage: 18.130672%
CPU Usage: 0.124844%, Memory Usage: 18.104042%
CPU Usage: 0.871189%, Memory Usage: 18.104144%
CPU Usage: 0.000000%, Memory Usage: 18.103940%
CPU Usage: 0.501253%, Memory Usage: 18.093411%
CPU Usage: 0.124844%, Memory Usage: 18.090242%
CPU Usage: 1.057872%, Memory Usage: 18.064685%
CPU Usage: 0.249844%, Memory Usage: 18.063969%
CPU Usage: 0.062539%, Memory Usage: 18.063969%
CPU Usage: 0.685786%, Memory Usage: 18.076799%
CPU Usage: 0.124844%, Memory Usage: 18.076799%
CPU Usage: 0.562149%, Memory Usage: 18.115543%
CPU Usage: 0.000000%, Memory Usage: 18.115543%
CPU Usage: 0.562149%, Memory Usage: 18.128372%
CPU Usage: 0.062461%, Memory Usage: 18.128372%
CPU Usage: 0.500000%, Memory Usage: 18.141202%
CPU Usage: 0.000000%, Memory Usage: 18.137982%
CPU Usage: 1.057214%, Memory Usage: 18.141202%
CPU Usage: 0.124844%, Memory Usage: 18.141202%
CPU Usage: 0.749064%, Memory Usage: 18.137879%
CPU Usage: 0.000000%, Memory Usage: 18.128219%
